,Titles,Author Names,Published Time,First Paragraph,Links,Images
0,Imran calls on long march participants to reach Rawalpindi on Nov 26,,**,"""I will meet you there,"" says the PTI chief.
 
    ",https://www.dawn.com/news/1717321/imran-calls-on-long-march-participants-to-reach-rawalpindi-on-nov-26,https://i.dawn.com/medium/2022/11/19172041ef8891f.png?r=172059
1,"Pakistan will not default, will make bond payments on time: Dar",,**,"Requests people to avoid spreading rumours or ""irresponsible statements"" regarding the economy.
 
    ",https://www.dawn.com/news/1721879/pakistan-will-not-default-will-make-bond-payments-on-time-dar,https://i.dawn.com/medium/2022/11/19164841e5851b5.png?r=164917
2,PPP’s Chandio brothers indicted in Mehar triple murder case,,**,"Court summons witnesses in next hearing on December 3 to proceed with case against the accused MPAs.
 
    ",https://www.dawn.com/news/1721876/ppps-chandio-brothers-indicted-in-mehar-triple-murder-case,https://i.dawn.com/medium/2022/11/191623231363b76.jpg?r=162440
3,"In report to IHC, capital police highlight risk of violence during PTI’s long march",,**,"Report suggests ""financial/bank guarantees"" be sought from PTI for clearance of protest venue, environment protection, rectification of possible damage.
 
    ",https://www.dawn.com/news/1721867/in-report-to-ihc-capital-police-highlight-risk-of-violence-during-ptis-long-march,https://i.dawn.com/medium/2022/11/19150536497241b.jpg?r=150631
4,Karachi police disperse protesting Islamia College students with tear gas,,**,"Islami Jamiat Talaba claims five students were detained while police deny allegations.
 
    ",https://www.dawn.com/news/1721874/karachi-police-disperse-protesting-islamia-college-students-with-tear-gas,https://i.dawn.com/medium/2022/11/1915395818a6daf.png?r=160037
5,Police in India-occupied Kashmir raid journalists’ houses over online threats,,**,"Police blames Lashkar-e-Taiba for threats to employees of three Kashmir-based, Delhi-backed and Indian army-sponsored media houses.
 
    ",https://www.dawn.com/news/1721865/police-in-india-occupied-kashmir-raid-journalists-houses-over-online-threats,https://i.dawn.com/medium/2022/11/19143201732daa8.jpg?r=144023
6,Indian board sacks selection panel after humiliating T20 World Cup exit,,**,"Invites applications for five positions of national selectors.
 
    ",https://www.dawn.com/news/1721871/indian-board-sacks-selection-panel-after-humiliating-t20-world-cup-exit,https://i.dawn.com/medium/2022/11/19151938e361ce1.jpg?r=152145
7,Lahore accountability court grants Buzdar interim bail in NAB case,,**,"Assets-beyond-means case against ex-CM; bail granted till Nov 30 subject to furnishing surety bonds of Rs500,000.
 
    ",https://www.dawn.com/news/1721873/lahore-accountability-court-grants-buzdar-interim-bail-in-nab-case,https://i.dawn.com/medium/2022/11/19153748588c186.jpg?r=154619
8,North Korea’s Kim reveals daughter at ballistic missile test,,**,"Ju Ae, estimated to be about 12-13 years old, watched the test alongside her mother Ri Sol Ju and father Kim.
 
    ",https://www.dawn.com/news/1721854/north-koreas-kim-reveals-daughter-at-ballistic-missile-test,https://i.dawn.com/medium/2022/11/19120845626c1c7.jpg?r=124034
9,Iran criticises world ‘silence’ over protest violence,,**,"“It is the duty of the international community to condemn the terrorist acts in Iran and not to provide a safe haven for extremists,” says govt.
 
    ",https://www.dawn.com/news/1721868/iran-criticises-world-silence-over-protest-violence,https://i.dawn.com/medium/2022/11/19145942db31b02.jpg?r=150301
10,,,**,,https://www.youtube.com/watch?v=83kc3CV_zSw,https://i.ytimg.com/vi/83kc3CV_zSw/mqdefault.jpg
11,,,**,,https://www.youtube.com/watch?v=zGNg5ScS-DI,https://i.ytimg.com/vi/zGNg5ScS-DI/mqdefault.jpg
12,,,**,,https://www.youtube.com/watch?v=N-VIXslyrHI,https://i.ytimg.com/vi/N-VIXslyrHI/mqdefault.jpg
13,,,**,,https://www.youtube.com/watch?v=f6ymKBKl-LU,https://i.ytimg.com/vi/f6ymKBKl-LU/mqdefault.jpg
14,,,**,,https://www.youtube.com/watch?v=OUi01SBESGQ,https://i.ytimg.com/vi/OUi01SBESGQ/mqdefault.jpg
15,"

Faisal Javed thanks long march participants
",,**,,https://www.dawn.com/live/pakistan#1721895, 
16,"

Bilawal advises President Alvi to not ‘create disorder’ regarding COAS appointment
",,**,,https://www.dawn.com/live/pakistan#1721894, 
17,"

Bilawal claims Imran is trying to 'sabotage' COAS appointment

",,**,,https://www.dawn.com/live/pakistan#1721893, 
18,,,**,,https://www.dawn.com/news/1721835/editorial-imfs-refusal-to-give-pakistan-any-leeway-underscores-lenders-lack-of-confidence-in-our-commitments,https://i.dawn.com/medium/2022/11/6378505abe16b.jpg
19,,,**,,https://www.dawn.com/news/1721646/joyland-and-how-our-art-and-stories-are-always-an-integral-telling-of-our-identities,https://i.dawn.com/medium/2022/11/18162121c9d41a8.gif?r=162204
20,,,**,,https://www.dawn.com/news/1721837/pakistan-is-one-of-the-worst-governed-countries-in-the-world-its-time-we-wake-up-to-this-reality,https://i.dawn.com/medium/2022/11/637852b150ebe.jpg
21,,,**,,https://www.dawn.com/news/1721777/is-it-ptis-turn-to-see-electables-fly-out-of-its-nest,https://i.dawn.com/thumbnail/2022/11/63783ec868db8.jpg
22,,,**,,https://www.dawn.com/news/1721840/all-political-parties-need-to-agree-on-red-lines-in-their-ties-with-establishment-rather-than-becoming-tools,https://i.dawn.com/thumbnail/2022/11/6378569ce7efb.jpg
23,,,**,,https://www.dawn.com/news/1721878/comedian-tariq-teddy-passes-away-at-46,https://i.dawn.com/thumbnail/2022/11/1916411606339c2.png?r=164136
24,,,**,,https://www.dawn.com/news/1721866/jaya-bachchan-doesnt-think-women-should-wear-pants-heres-why-thats-a-problem,https://i.dawn.com/thumbnail/2022/11/1914494787d2bd0.png?r=144955
25,,,**,,https://www.dawn.com/news/1721847/street-artist-banksy-invites-shoplifters-to-help-themselves-to-guess-clothing-after-they-did-the-same-to-his-artwork,https://i.dawn.com/thumbnail/2022/11/191117525840cda.png?r=111811
26,,,**,,https://www.dawn.com/news/1721612/editorial-pakistan-is-at-a-point-where-militancy-could-once-again-spiral-out-of-control-if-not-tackled-immediately,https://i.dawn.com/thumbnail/2022/11/6376fb440f07f.jpg
27,,,**,,https://www.dawn.com/news/1721613/where-do-u-turns-leave-imrans-supporters,https://i.dawn.com/thumbnail/2022/11/6376fd4d64334.jpg
28,,,**,,https://www.dawn.com/news/1721614/if-all-institutions-in-pakistan-indulge-in-political-games-then-whos-left-doing-their-portion-of-the-work,https://i.dawn.com/thumbnail/2022/11/6376ffeab0f96.jpg
29,,,**,"Let's find out what Delma is up to this week.
 
    ",https://www.dawn.com/news/1721084/the-sting-part-3,https://i.dawn.com/medium/2022/11/637348dce2cc6.png
30,India successfully launches first privately made rocket,,**,"The rocket has the capability of reaching Mach 5 — five times the speed of sound — and carrying a payload of 83kg to an altitude of 100km.
 
    ",https://www.dawn.com/news/1721630/india-successfully-launches-first-privately-made-rocket,https://i.dawn.com/medium/2022/11/181246137a5d0f2.jpg?r=124654
31,"After Elon Musk's ultimatum, Twitter employees start exiting
",,**,"Musk says he is not worried about resignations as “the best people are staying.”
 
    ",https://www.dawn.com/news/1721618/after-elon-musks-ultimatum-twitter-employees-start-exiting,https://i.dawn.com/medium/2022/11/1809552021f062d.jpg?r=095846
32,"LKY on not crumbling
",,**,"Imran's supporters are left in the lurch, scrambling for reasons to support him.
 
    ",https://www.dawn.com/news/1721598/lky-on-not-crumbling,https://i.dawn.com/medium/2022/11/6376f2b0b43de.jpg
33,"Rising graph of militancy
",,**,"The state must acknowledge the gravity of the law and order problem and set about addressing it.
 
    ",https://www.dawn.com/news/1721594/rising-graph-of-militancy, 
