,Name of Movie,Year of Release,Genre,Rating
0,The Shawshank Redemption,1994,Drama            ,9.3
1,The Godfather,1972,"Crime, Drama            ",9.2
2,Kantara,2022,"Action, Adventure, Drama            ",9.0
3,The Dark Knight,2008,"Action, Crime, Drama            ",9.0
4,The Lord of the Rings: The Return of the King,2003,"Action, Adventure, Drama            ",9.0
5,Schindler's List,1993,"Biography, Drama, History            ",9.0
6,The Godfather Part II,1974,"Crime, Drama            ",9.0
7,12 Angry Men,1957,"Crime, Drama            ",9.0
8,777 Charlie,2022,"Adventure, Comedy, Drama            ",8.9
9,Jai Bhim,2021,"Crime, Drama, Mystery            ",8.9
10,Pulp Fiction,1994,"Crime, Drama            ",8.9
11,Rocketry: The Nambi Effect,2022,"Biography, Drama            ",8.8
12,Inception,2010,"Action, Adventure, Sci-Fi            ",8.8
13,The Lord of the Rings: The Two Towers,2002,"Action, Adventure, Drama            ",8.8
14,Fight Club,1999,Drama            ,8.8
15,The Lord of the Rings: The Fellowship of the Ring,2001,"Action, Adventure, Drama            ",8.8
16,Forrest Gump,1994,"Drama, Romance            ",8.8
17,"Il buono, il brutto, il cattivo",1966,"Adventure, Western            ",8.8
18,Soorarai Pottru,2020,Drama            ,8.7
19,The Matrix,1999,"Action, Sci-Fi            ",8.7
20,Goodfellas,1990,"Biography, Crime, Drama            ",8.7
21,The Empire Strikes Back,1980,"Action, Adventure, Fantasy            ",8.7
22,One Flew Over the Cuckoo's Nest,1975,Drama            ,8.7
23,Interstellar,2014,"Adventure, Drama, Sci-Fi            ",8.6
24,Cidade de Deus,2002,"Crime, Drama            ",8.6
25,Sen to Chihiro no kamikakushi,2001,"Animation, Adventure, Family            ",8.6
26,Saving Private Ryan,1998,"Drama, War            ",8.6
27,The Green Mile,1999,"Crime, Drama, Fantasy            ",8.6
28,La vita è bella,1997,"Comedy, Drama, Romance            ",8.6
29,Se7en,1995,"Crime, Drama, Mystery            ",8.6
30,Terminator 2: Judgment Day,1991,"Action, Sci-Fi            ",8.6
31,The Silence of the Lambs,1991,"Crime, Drama, Thriller            ",8.6
32,Star Wars,1977,"Action, Adventure, Fantasy            ",8.6
33,Seppuku,1962,"Action, Drama, Mystery            ",8.6
34,Shichinin no samurai,1954,"Action, Drama            ",8.6
35,It's a Wonderful Life,1946,"Drama, Family, Fantasy            ",8.6
36,Kaithi,2019,"Action, Adventure, Crime            ",8.5
37,96,II 2018,"Drama, Romance            ",8.5
38,Gisaengchung,2019,"Drama, Thriller            ",8.5
39,Whiplash,2014,"Drama, Music            ",8.5
40,Sita Ramam,2022,"Action, Drama, Mystery            ",8.5
41,The Intouchables,2011,"Biography, Comedy, Drama            ",8.5
42,The Prestige,2006,"Drama, Mystery, Sci-Fi            ",8.5
43,The Departed,2006,"Crime, Drama, Thriller            ",8.5
44,The Pianist,2002,"Biography, Drama, Music            ",8.5
45,Gladiator,2000,"Action, Adventure, Drama            ",8.5
46,American History X,1998,"Crime, Drama            ",8.5
47,The Usual Suspects,1995,"Crime, Drama, Mystery            ",8.5
48,Léon,1994,"Action, Crime, Drama            ",8.5
49,The Lion King,1994,"Animation, Adventure, Drama            ",8.5
50,Nuovo Cinema Paradiso,1988,"Drama, Romance            ",8.5
51,Hotaru no haka,1988,"Animation, Drama, War            ",8.5
52,Back to the Future,1985,"Adventure, Comedy, Sci-Fi            ",8.5
53,Apocalypse Now,1979,"Drama, Mystery, War            ",8.5
54,Alien,1979,"Horror, Sci-Fi            ",8.5
55,Once Upon a Time in the West,1968,Western            ,8.5
