,Name of Movie,Year of Release,Genre,Rating
0,Black Panther: Wakanda Forever,2022,"Action, Adventure, Drama            ",7.3
1,Andor,2022– ,"Action, Adventure, Drama            ",8.3
2,The Peripheral,2022– ,"Drama, Mystery, Sci-Fi            ",8.2
3,Manifest,2018– ,"Drama, Mystery, Sci-Fi            ",7.1
4,Black Adam,2022,"Action, Adventure, Fantasy            ",6.9
5,The Handmaid's Tale,2017– ,"Drama, Sci-Fi, Thriller            ",8.4
6,Avatar: The Way of Water,2022,"Action, Adventure, Fantasy            ",^^
7,American Horror Story,2011– ,"Drama, Horror, Sci-Fi            ",8.0
8,Stranger Things,2016– ,"Drama, Fantasy, Horror            ",8.7
9,Doctor Who,2005– ,"Adventure, Drama, Sci-Fi            ",8.6
10,Titans,I 2018– ,"Action, Adventure, Crime            ",7.6
11,Black Panther,2018,"Action, Adventure, Sci-Fi            ",7.3
12,The Boys,2019– ,"Action, Comedy, Crime            ",8.7
13,Westworld,2016–2022,"Drama, Mystery, Sci-Fi            ",8.5
14,Rick and Morty,2013– ,"Animation, Adventure, Comedy            ",9.1
15,Everything Everywhere All at Once,2022,"Action, Adventure, Comedy            ",8.1
16,Nope,2022,"Horror, Mystery, Sci-Fi            ",6.9
17,Thor: Love and Thunder,2022,"Action, Adventure, Comedy            ",6.3
18,Tales of the Jedi,2022– ,"Animation, Short, Action            ",8.3
19,Severance,2022– ,"Drama, Mystery, Sci-Fi            ",8.7
20,The Sandman,2022– ,"Drama, Fantasy, Horror            ",7.7
21,She-Hulk: Attorney at Law,2022,"Action, Adventure, Comedy            ",5.2
22,Black Mirror,2011–2019,"Drama, Mystery, Sci-Fi            ",8.8
23,Avatar,2009,"Action, Adventure, Fantasy            ",7.8
24,Quantum Leap,2022– ,"Drama, Mystery, Sci-Fi            ",5.6
25,The Mandalorian,2019– ,"Action, Adventure, Fantasy            ",8.7
26,Avenue 5,2020– ,"Comedy, Sci-Fi            ",6.6
27,Morbius,2022,"Action, Adventure, Horror            ",5.2
28,The X Files,1993–2018,"Crime, Drama, Mystery            ",8.6
29,See,2019–2022,"Action, Drama, Sci-Fi            ",7.6
30,Interstellar,2014,"Adventure, Drama, Sci-Fi            ",8.6
31,Dark,2017–2020,"Crime, Drama, Mystery            ",8.7
32,Lost,2004–2010,"Adventure, Drama, Fantasy            ",8.3
33,Oblivion,I 2013,"Action, Adventure, Sci-Fi            ",7.0
34,Spider-Man: No Way Home,2021,"Action, Adventure, Fantasy            ",8.3
35,Crimes of the Future,2022,"Drama, Horror, Sci-Fi            ",5.9
36,Rogue One,2016,"Action, Adventure, Sci-Fi            ",7.8
37,Ant-Man and the Wasp: Quantumania,2023,"Action, Adventure, Comedy            ",^^
38,Dune: Part One,2021,"Action, Adventure, Drama            ",8.0
39,Jurassic World: Dominion,2022,"Action, Adventure, Sci-Fi            ",5.7
40,V for Vendetta,2005,"Action, Drama, Sci-Fi            ",8.2
41,The Flash,2014–2023,"Action, Adventure, Drama            ",7.6
42,The Orville,2017– ,"Adventure, Comedy, Drama            ",8.0
43,Avengers: Endgame,2019,"Action, Adventure, Drama            ",8.4
44,Prey,I 2022,"Action, Adventure, Drama            ",7.2
45,Fear the Walking Dead,2015– ,"Drama, Horror, Sci-Fi            ",6.8
46,Smallville,2001–2011,"Action, Adventure, Drama            ",7.5
47,Strange World,2022,"Animation, Action, Adventure            ",4.1
48,The Umbrella Academy,2019–2023,"Action, Adventure, Comedy            ",7.9
49,Back to the Future,1985,"Adventure, Comedy, Sci-Fi            ",8.5
